year,month,north_co2_anomaly,norm_north_co2,south_co2_anomaly,norm_south_co2,msl_mm_north,msl_mm_south,norm_msl_north,norm_msl_south,north_land_ocean_anomaly,south_land_ocean_anomaly,north_land_anomaly,south_land_anomaly,norm_north_land_ocean,norm_south_land_ocean,norm_north_land,norm_south_land
1996,11,0.7607559477997654,0.2414881304717643,-0.0784257712023341,0.1509198027302895,14.447457297611926,5.589724791069725,0.14113530753930406,0.09938939888850694,0.43,0.37,0.74,0.4,0.24882629107981222,0.2626262626262626,0.3146067415730337,0.3560371517027864
1996,12,2.1021561906742505,0.3429054197826626,-0.1179706371235633,0.136138986514782,11.927376067173675,3.383768542749025,0.11718865209667392,0.07902120786688695,0.36,0.36,0.57,0.28,0.215962441314554,0.2525252525252525,0.2668539325842697,0.3188854489164087
1997,1,2.824981642747657,0.3975550281926924,0.073259767225942,0.2076158115250758,11.010062710452,2.05886840005714,0.10847203351271012,0.06678804630193612,0.27,0.25,0.3,-0.05,0.17370892018779344,0.14141414141414138,0.1910112359550562,0.21671826625386997
1997,2,1.451538341159436,0.2937151061342308,0.0324108049639546,0.1923475588777832,11.90133517790925,0.1074423634258747,0.11694120284975959,0.04877000160638691,0.47,0.27,0.65,-0.09,0.2676056338028169,0.1616161616161616,0.28932584269662925,0.20433436532507743
1997,3,1.177013985100496,0.2729595440346922,0.0457987494376732,0.1973516154641332,11.29969800072385,2.24675770487705,0.11122424499557569,0.06852287910036747,0.68,0.35,1.16,0.09,0.36619718309859156,0.24242424242424238,0.4325842696629214,0.26006191950464397
1997,4,-0.1383344634227032,0.1735119146957726,0.0885565866575697,0.2133333546607908,9.03015832573882,4.20424720158844,0.08965831928103273,0.08659690936374377,0.51,0.27,0.76,-0.11,0.2863849765258216,0.1616161616161616,0.3202247191011236,0.19814241486068113
1997,5,-0.9340054294564356,0.1133547818883383,0.1961011960503582,0.2535306614254597,13.453410479071977,6.9065025079523,0.13168954191480503,0.11154756389785114,0.46,0.33,0.47,0.05,0.26291079812206575,0.2222222222222222,0.23876404494382023,0.24767801857585142
1997,6,-1.45965110410474,0.0736130569676745,0.2811261013285033,0.2853107033950175,13.551690904208076,10.051320384258725,0.13262343541357932,0.140584518407523,0.57,0.56,0.63,0.9,0.3145539906103286,0.45454545454545453,0.28370786516853935,0.5108359133126936
1997,7,-1.5406475133556476,0.0674892797328199,0.2582318481745886,0.2767534421582901,10.54988717767144,12.38188140387574,0.10409929155759921,0.16210321900334723,0.51,0.35,0.41,-0.12,0.2863849765258216,0.24242424242424238,0.22191011235955058,0.195046439628483
1997,8,-1.5660370667864676,0.0655696888430418,0.1644941750688779,0.2417167999452479,12.188665070795947,14.6351493087701,0.11967150767494533,0.18290825135369948,0.53,0.41,0.48,0.07,0.29577464788732394,0.3030303030303029,0.24157303370786518,0.2538699690402477
