time,msl,cycle
2012-01-27 01:07:41.510478080,0.05809790533518208,713.0
2012-02-05 23:06:12.821840384,0.05813628952829771,714.0
2012-02-15 21:04:43.959920640,0.05800061953206235,715.0
2012-02-25 19:03:15.024666112,0.057828548880379936,716.0
2012-03-06 17:01:45.908844544,0.05775221784593264,717.0
2012-03-16 15:00:17.921405952,0.05783397096017577,718.0
2012-03-26 12:58:50.037099008,0.05795944237626084,719.0
2012-04-05 10:57:21.599876864,0.05794309813566988,720.0
2012-04-15 08:55:53.115208960,0.057804049040296755,721.0
2012-04-25 06:54:24.565114368,0.05778184000419353,722.0
2012-05-05 04:52:55.988943872,0.05810551466339983,723.0
2012-05-15 02:51:27.051014400,0.058845408289012094,724.0
2012-05-25 00:49:58.218641920,0.05982601472204798,725.0
2012-06-03 22:48:30.354112512,0.06069940298499589,726.0
2012-06-13 20:47:02.135598080,0.06126283993867119,727.0
2012-06-23 18:45:33.743819776,0.061725415142800055,728.0
2012-07-03 16:44:04.948624896,0.06243603283637322,729.0
2012-07-13 14:42:35.715154688,0.0632815343948408,730.0
2012-07-23 12:41:06.554586112,0.06362410448766666,731.0
2012-08-02 10:39:38.032744192,0.0629916412177746,732.0
2012-08-12 08:38:09.848200192,0.061690233631361335,733.0
2012-08-22 06:36:41.825342464,0.0606648739971268,734.0
2012-09-01 04:35:13.783214336,0.060603279932474045,735.0
2012-09-11 02:33:45.253264896,0.061460544275279166,736.0
2012-09-21 00:32:16.561459712,0.06267992090900702,737.0
2012-09-30 22:30:47.689716224,0.06363507351780032,738.0
2012-10-10 20:29:18.338426112,0.06400102825412465,739.0
2012-10-20 18:27:49.096720640,0.06384888869818794,740.0
2012-10-30 16:26:21.200326144,0.06345456462471022,741.0
2012-11-09 14:24:53.550381312,0.06317967698928337,742.0
2012-11-19 12:23:25.920750080,0.06326552893647365,743.0
2012-11-29 10:21:57.211617792,0.06376824529789436,744.0
2012-12-09 08:20:28.907555840,0.06446167698970229,745.0
2012-12-19 06:19:00.472737280,0.06495629288176842,746.0
2012-12-29 04:17:32.683690496,0.06509207692953169,747.0
2013-01-08 02:16:04.350230528,0.06506318386093103,748.0
2013-01-18 00:14:36.057001984,0.06509050476274711,749.0
2013-01-27 22:13:07.907727616,0.06515187465147473,750.0
2013-02-06 20:11:39.204090880,0.06505221244319037,751.0
2013-02-16 18:10:10.527822848,0.06485880537202704,752.0
2013-02-26 16:08:41.578462464,0.06506735817207004,753.0
2013-03-08 14:07:12.785687296,0.06596054064705743,754.0
2013-03-18 12:05:44.504368384,0.06702073939255081,755.0
2013-03-27 04:31:24.613842176,0.06728258412906779,756.0
2013-04-08 22:40:08.964293376,0.066601234758048,757.0
2013-04-17 06:01:20.176658432,0.06530107837766062,758.0
2013-04-27 03:59:51.465865216,0.06441685964899269,759.0
2013-05-07 01:58:22.233258496,0.06411191315853257,760.0
2013-05-16 23:56:53.558500352,0.06393639371746813,761.0
2013-05-26 21:55:25.448887552,0.0634994159172597,762.0
